inject_id,evidence_record_id,domain,title,observed_fact,original_evidence_path,source_locator,authority_class,effective_at,jurisdiction,conflict_state,source_sha256,validation_note
INJ-001,INJ-001-E01,"D01 — Strategy, value and operating-model conflict",Board catastrophe target,"The board demands a 20% reduction in catastrophe claim cycle time and a 12% expense-ratio improvement without weakening claims independence, reserving governance or consumer protections.",data/board_requests.csv,record_id=INJ-001-BOARD_REQUESTS,mixed,as_supplied,derive_from_source,open,d1e16158bb33bf0f6b9b1e96fd531e1b1ce960276a771cfd4bf8d9455ea8f759,"Use the located source and case context; this ledger is an evidence index, not an outcome."
INJ-001,INJ-001-E02,"D01 — Strategy, value and operating-model conflict",Board catastrophe target,"The board demands a 20% reduction in catastrophe claim cycle time and a 12% expense-ratio improvement without weakening claims independence, reserving governance or consumer protections.",data/kpi_conflicts.csv,record_id=INJ-001-KPI_CONFLICTS,mixed,as_supplied,derive_from_source,open,2b95fb5c2fc1fa7887fbb63e9dba14d053c04df866e53d0b075f89ecdb027ef3,"Use the located source and case context; this ledger is an evidence index, not an outcome."
INJ-002,INJ-002-E01,"D01 — Strategy, value and operating-model conflict",No-AI challenge,"Process Excellence argues that policy-wording rationalisation, identity repair and workflow redesign can deliver most benefits without generative AI.",data/no_ai_baselines.csv,record_id=INJ-002-NO_AI_BASELINES,mixed,as_supplied,derive_from_source,open,8d1c0df4da62f862c4f611723cfdce824367ed3a78e1584129e5783992fe35cc,"Use the located source and case context; this ledger is an evidence index, not an outcome."
INJ-002,INJ-002-E02,"D01 — Strategy, value and operating-model conflict",No-AI challenge,"Process Excellence argues that policy-wording rationalisation, identity repair and workflow redesign can deliver most benefits without generative AI.",data/process_bottlenecks.csv,record_id=INJ-002-PROCESS_BOTTLENECKS,mixed,as_supplied,derive_from_source,open,3a472093c2e5456b4c8f8e2478b87fb18736cd6c11ff5712e24495620e8d8612,"Use the located source and case context; this ledger is an evidence index, not an outcome."
INJ-003,INJ-003-E01,"D01 — Strategy, value and operating-model conflict",Mutual versus shareholder tension,The mutual parent prioritises member fairness while a listed subsidiary prioritises growth and combined-ratio targets.,data/legal_entities.csv,record_id=INJ-003-LEGAL_ENTITIES,mixed,as_supplied,derive_from_source,open,d50e2fb5ca1f5565b926627a6cb57912b2626ba715ab84253bb3768f36435242,"Use the located source and case context; this ledger is an evidence index, not an outcome."
INJ-003,INJ-003-E02,"D01 — Strategy, value and operating-model conflict",Mutual versus shareholder tension,The mutual parent prioritises member fairness while a listed subsidiary prioritises growth and combined-ratio targets.,data/strategy_conflicts.csv,record_id=INJ-003-STRATEGY_CONFLICTS,mixed,as_supplied,derive_from_source,open,b4772527baddd3e7a321dcd7a9e930439f389213e443ab08b5721ebee3357bff,"Use the located source and case context; this ledger is an evidence index, not an outcome."
INJ-004,INJ-004-E01,"D01 — Strategy, value and operating-model conflict",Acquisition integration,"A recently acquired digital insurer uses different product identifiers, pricing factors, cloud tenancy and claims authority matrices.",data/legal_entities.csv,record_id=INJ-004-LEGAL_ENTITIES,mixed,as_supplied,derive_from_source,open,d50e2fb5ca1f5565b926627a6cb57912b2626ba715ab84253bb3768f36435242,"Use the located source and case context; this ledger is an evidence index, not an outcome."
INJ-004,INJ-004-E02,"D01 — Strategy, value and operating-model conflict",Acquisition integration,"A recently acquired digital insurer uses different product identifiers, pricing factors, cloud tenancy and claims authority matrices.",data/system_inventory.csv,record_id=INJ-004-SYSTEM_INVENTORY,mixed,as_supplied,derive_from_source,open,5e66f64c0bb13a1905a44c482be2b90cfcfb7eb3f3df5c10229ab503c1f383fe,"Use the located source and case context; this ledger is an evidence index, not an outcome."
INJ-005,INJ-005-E01,"D01 — Strategy, value and operating-model conflict",Prohibited autonomy,"The board prohibits autonomous binding, declinature, pricing, reserve changes, settlement, payment, policy cancellation, claim repudiation or treaty placement.",data/ai_use_boundaries.csv,record_id=INJ-005-AI_USE_BOUNDARIES,mixed,as_supplied,derive_from_source,open,ab5468398fd85ed5f692eb6f04720be0b9ce8ea844a50266e45101f4ca426269,"Use the located source and case context; this ledger is an evidence index, not an outcome."
INJ-005,INJ-005-E02,"D01 — Strategy, value and operating-model conflict",Prohibited autonomy,"The board prohibits autonomous binding, declinature, pricing, reserve changes, settlement, payment, policy cancellation, claim repudiation or treaty placement.",data/decision_rights.csv,record_id=INJ-005-DECISION_RIGHTS,mixed,as_supplied,derive_from_source,open,7b721ae17b5345c51a247099c5872fcac7562d76a4ed9aafe308a6d70efdd1e1,"Use the located source and case context; this ledger is an evidence index, not an outcome."
INJ-006,INJ-006-E01,"D01 — Strategy, value and operating-model conflict",Value leakage,"The business case excludes complaints, appeals, human review, litigation, regulatory remediation and model-change costs.",data/cost_model.csv,record_id=INJ-006-COST_MODEL,mixed,as_supplied,derive_from_source,open,3453253e2a82b14c8bed66ece74165600253efb98a6f5761ac7b9d7e9be3b1fd,"Use the located source and case context; this ledger is an evidence index, not an outcome."
INJ-006,INJ-006-E02,"D01 — Strategy, value and operating-model conflict",Value leakage,"The business case excludes complaints, appeals, human review, litigation, regulatory remediation and model-change costs.",data/staff_rates.csv,record_id=INJ-006-STAFF_RATES,mixed,as_supplied,derive_from_source,open,8284cdc86043afe1f4c9e5202f2d9c0e299ded913abed66a844c51c807b186e8,"Use the located source and case context; this ledger is an evidence index, not an outcome."
INJ-007,INJ-007-E01,"D02 — Product, policy and coverage lifecycle",Policy version collision,"Three policy wordings with the same marketing name have different exclusions, endorsements and territorial limits.",data/policy_products.csv,record_id=INJ-007-POLICY_PRODUCTS,mixed,as_supplied,derive_from_source,open,8532a2673782db88943ad6289c1f196723583ef8b2d89ee139930216ce66efeb,"Use the located source and case context; this ledger is an evidence index, not an outcome."
